pmid,Title,node-A,normalized_node_A,edge,normalized_edge,node-B,normalized_node_B,Context,normalized_Context
37700438.0,YTHDF2 promotes gallbladder cancer progression and gemcitabine resistance via m6A-dependent DAPK3 degradation,DAPK3 degradation,DAPK3 degradation,promote,STIMULATES,gemcitabine resistance,Gemcitabine Resistance,gallbladder cancer ,CHOL(Cholangiocarcinoma)
,,,,,,,,,
37710320.0,METTL3 exacerbates insulin resistance in hepatocytes by regulating m6A modification of cytochrome P450 2B6,METTL3,METTL3,exacerbate,COMPLICATES,insulin resistance,Insulin Resistance,hepatocytes,Hepatocytes
37710320.0,METTL3 exacerbates insulin resistance in hepatocytes by regulating m6A modification of cytochrome P450 2B6,METTL3,METTL3,regulate,AFFECTS,m6A,m6A,hepatocytes,Hepatocytes
37710320.0,METTL3 exacerbates insulin resistance in hepatocytes by regulating m6A modification of cytochrome P450 2B6,m6A,m6A,is on,LOCATES,cytochrome P450 2B6,CYP2B6,hepatocytes,Hepatocytes
37710320.0,METTL3 exacerbates insulin resistance in hepatocytes by regulating m6A modification of cytochrome P450 2B6,cytochrome P450 2B6,CYP2B6,exacerbate,COMPLICATES,insulin resistance,Insulin Resistance,hepatocytes,Hepatocytes
,,,,,,,,,
37721438.0,VIRMA promotes neuron apoptosis via inducing m6A methylation of STK10 in spinal cord injury animal models.,VIRMA,VIRMA,promote,STIMULATES,neuron apoptosis,neuron apoptosis,spinal cord injury animal models,spinal cord injury animal models
37721438.0,VIRMA promotes neuron apoptosis via inducing m6A methylation of STK10 in spinal cord injury animal models.,VIRMA,VIRMA,induce,CAUSES,m6A,m6A,spinal cord injury animal models,spinal cord injury animal models
37721438.0,VIRMA promotes neuron apoptosis via inducing m6A methylation of STK10 in spinal cord injury animal models.,m6A,m6A,is on,LOCATES,STK10,STK10,spinal cord injury animal models,spinal cord injury animal models
37721438.0,VIRMA promotes neuron apoptosis via inducing m6A methylation of STK10 in spinal cord injury animal models.,STK10,STK10,promote,STIMULATES,neuron apoptosis,neuron apoptosis,spinal cord injury animal models,spinal cord injury animal models
,,,,,,,,,
37724835.0,METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis,METTL3,METTL3,regulate,AFFECTS,m6A,m6A,Osteoarthritis,Osteoarthritis
37724835.0,METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis,m6A,m6A,is on,LOCATES,NEK7,NEK7,Osteoarthritis,Osteoarthritis
37724835.0,METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis,NEK7,NEK7,Inhibit,INHIBITS,formation,formation,Osteoarthritis,Osteoarthritis
,,,,,,,,,
37733108.0,M6A-mediated upregulation of HOXC10 promotes human hepatocellular carcinoma development through PTEN/AKT/mTOR signaling pathway,M6A,m6A,mediate upregulation of,mediate upregulation of, HOXC10,HOXC10,human hepatocellular carcinoma,LIHC(Liver Hepatocellular Carcinoma)
37733108.0,M6A-mediated upregulation of HOXC10 promotes human hepatocellular carcinoma development through PTEN/AKT/mTOR signaling pathway,HOXC10,HOXC10,promote,STIMULATES,development,development,human hepatocellular carcinoma,LIHC(Liver Hepatocellular Carcinoma)
37733108.0,M6A-mediated upregulation of HOXC10 promotes human hepatocellular carcinoma development through PTEN/AKT/mTOR signaling pathway,HOXC10,HOXC10,regulate,AFFECTS,PTEN/AKT/mTOR signaling pathway,PTEN/AKT/mTOR signaling pathway,human hepatocellular carcinoma,LIHC(Liver Hepatocellular Carcinoma)
37733108.0,M6A-mediated upregulation of HOXC10 promotes human hepatocellular carcinoma development through PTEN/AKT/mTOR signaling pathway,PTEN/AKT/mTOR signaling pathway,PTEN/AKT/mTOR signaling pathway,promote,STIMULATES,development,development,human hepatocellular carcinoma,LIHC(Liver Hepatocellular Carcinoma)
,,,,,,,,,
37584615.0,"ALKBH5-mediated RNA m6A methylation regulates the migration, invasion and proliferation of rheumatoid fibroblast-like synoviocytes. ",ALKBH5,ALKBH5,mediate,AFFECTS,m6A,m6A,rheumatoid fibroblast-like synoviocytes,rheumatoid fibroblast-like synoviocytes
37584615.0,"ALKBH5-mediated RNA m6A methylation regulates the migration, invasion and proliferation of rheumatoid fibroblast-like synoviocytes. ",m6A,m6A,regulate,AFFECTS,migration ,migration,rheumatoid fibroblast-like synoviocytes,rheumatoid fibroblast-like synoviocytes
37584615.0,"ALKBH5-mediated RNA m6A methylation regulates the migration, invasion and proliferation of rheumatoid fibroblast-like synoviocytes. ",m6A,m6A,regulate,AFFECTS,invasion ,Neoplasm Invasiveness,rheumatoid fibroblast-like synoviocytes,rheumatoid fibroblast-like synoviocytes
37584615.0,"ALKBH5-mediated RNA m6A methylation regulates the migration, invasion and proliferation of rheumatoid fibroblast-like synoviocytes. ",m6A,m6A,regulate,AFFECTS,proliferation,cell population proliferation,rheumatoid fibroblast-like synoviocytes,rheumatoid fibroblast-like synoviocytes
,,,,,,,,,
37588203.0,RNA m6A reader YTHDF2 facilitates precursor miR-126 maturation to promote acute myeloid leukemia progression.,YTHDF2,YTHDF2,facilitate,AUGMENTS,miR-126,MIR126,acute myeloid leukemia,LAML(Acute Myeloid Leukemia)
37588203.0,RNA m6A reader YTHDF2 facilitates precursor miR-126 maturation to promote acute myeloid leukemia progression.,miR-126,MIR126,promote  ,STIMULATES,progression,progression,acute myeloid leukemia,LAML(Acute Myeloid Leukemia)
,,,,,,,,,
37588656.0,Alkbh5 plays indispensable roles in maintaining self-renewal of hematopoietic stem cells.,Alkbh5,ALKBH5,maintain,MAINTAINS,self-renewal,Self-Renewal,hematopoietic stem cells,Hematopoietic Stem Cells
,,,,,,,,,
37589705.0,A cleaved METTL3 potentiates the METTL3-WTAP interaction and breast cancer progression.,METTL3  ,METTL3,potentiate,AUGMENTS,METTL3-WTAP interaction,METTL3-WTAP interaction,breast cancer,BRCA(Breast Invasive Carcinoma)
37589705.0,A cleaved METTL3 potentiates the METTL3-WTAP interaction and breast cancer progression.,METTL3  ,METTL3,potentiate,AUGMENTS,progression,progression,breast cancer,BRCA(Breast Invasive Carcinoma)
,,,,,,,,,
37591781.0,Gemcitabine Inhibits the Progression of Pancreatic Cancer by Restraining the WTAP/MYC Chain in an m6A-dependent Manner.,Gemcitabine   ,gemcitabine,Inhibit,INHIBITS,Progression ,progression,Pancreatic Cancer,PAAD(Pancreatic Adenocarcinoma)
37591781.0,Gemcitabine Inhibits the Progression of Pancreatic Cancer by Restraining the WTAP/MYC Chain in an m6A-dependent Manner.,Gemcitabine   ,gemcitabine,regulate,AFFECTS,m6A,m6A,Pancreatic Cancer,PAAD(Pancreatic Adenocarcinoma)
37591781.0,Gemcitabine Inhibits the Progression of Pancreatic Cancer by Restraining the WTAP/MYC Chain in an m6A-dependent Manner.,m6A,m6A,restrain,INHIBITS,WTAP/MYC Chain,WTAP/MYC Chain,Pancreatic Cancer,PAAD(Pancreatic Adenocarcinoma)
37591781.0,Gemcitabine Inhibits the Progression of Pancreatic Cancer by Restraining the WTAP/MYC Chain in an m6A-dependent Manner.,WTAP/MYC Chain,WTAP/MYC Chain,Inhibit,INHIBITS,Progression ,progression,Pancreatic Cancer,PAAD(Pancreatic Adenocarcinoma)
,,,,,,,,,
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,METTL14,METTL14,drive,STIMULATES,growth,Growth,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,METTL14,METTL14,drive,STIMULATES,metastasis,Neoplasm Metastasis,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,METTL14,METTL14,regulate,AFFECTS,pri-miR-93-5p,pri-miR-93-5p,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,METTL14,METTL14,regulate,AFFECTS,TXNIP,TXNIP,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,pri-miR-93-5p,pri-miR-93-5p,drive,STIMULATES,growth,Growth,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,pri-miR-93-5p,pri-miR-93-5p,drive,STIMULATES,metastasis,Neoplasm Metastasis,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,TXNIP,TXNIP,drive,STIMULATES,growth,Growth,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
37594665.0,METTL14 drives growth and metastasis of non-small cell lung cancer by regulating pri-miR-93-5p maturation and TXNIP expression,TXNIP,TXNIP,drive,STIMULATES,metastasis,Neoplasm Metastasis,non-small cell lung cancer,LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)
,,,,,,,,,
37599611.0,Xanthine derivatives inhibit FTO in an L-ascorbic acid-dependent manner.,Xanthine derivatives,Xanthine derivatives,inhibit,INHIBITS,FTO,FTO,Null,Null
37599611.0,Xanthine derivatives inhibit FTO in an L-ascorbic acid-dependent manner.,Xanthine derivatives,Xanthine derivatives,regulate,AFFECTS,L-ascorbic acid,L-ascorbic acid,Null,Null
37599611.0,Xanthine derivatives inhibit FTO in an L-ascorbic acid-dependent manner.,L-ascorbic acid,L-ascorbic acid,inhibit,INHIBITS,FTO,FTO,Null,Null
,,,,,,,,,
37602313.0,RNA N6-methyladenosine methyltransferase WTAP promotes the differentiation of endothelial progenitor cells,WTAP  ,WTAP,promote,STIMULATES,differentiation,cell differentiation,endothelial progenitor cells,Endothelial Progenitor Cells
,,,,,,,,,
37603553.0,"Kar4, the yeast homolog of METTL14, is required for mRNA m6A methylation and meiosis",Kar4,KAR 4,is required for,CAUSES,m6A,m6A,Null,Null
37603553.0,"Kar4, the yeast homolog of METTL14, is required for mRNA m6A methylation and meiosis",Kar4,KAR 4,is required for ,CAUSES, meiosis,Meiosis,Null,Null
,,,,,,,,,
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,miR-33a-3p,miR-33a-3p,regulate,AFFECTS,METTL3,METTL3,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,METTL3,METTL3,mediate,AFFECTS,AREG,AREG,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,miR-33a-3p,miR-33a-3p,alter,AFFECTS,EMT,epithelial to mesenchymal transition,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,AREG,AREG,inhibit,INHIBITS,invasion,Neoplasm Invasiveness,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,AREG,AREG,inhibit,INHIBITS,metastasis,Neoplasm Metastasis,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,EMT,epithelial to mesenchymal transition,inhibit,INHIBITS,invasion,Neoplasm Invasiveness,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
37604948.0,miR-33a-3p regulates METTL3-mediated AREG stability and alters EMT to inhibit pancreatic cancer invasion and metastasis.,EMT,epithelial to mesenchymal transition,inhibit,INHIBITS,metastasis,Neoplasm Metastasis,pancreatic cancer,PAAD(Pancreatic Adenocarcinoma)
,,,,,,,,,
37605570.0,METTL3-modified lncRNA-MALAT1 regulates the molecular axis of miR-124-3p/CDK4 involved in Ewing's sarcoma,METTL3,METTL3,modify,AFFECTS,lncRNA-MALAT1,MALAT1, Ewing's sarcoma,SARC(Sarcoma)
37605570.0,METTL3-modified lncRNA-MALAT1 regulates the molecular axis of miR-124-3p/CDK4 involved in Ewing's sarcoma,lncRNA-MALAT1,MALAT1,regulate the molecular axis of,AFFECTS,miR-124-3p/CDK4,miR-124-3p/CDK4, Ewing's sarcoma,SARC(Sarcoma)
,,,,,,,,,
37606168.0,METTL3 Promotes the Growth and Invasion of Melanoma Cells by Regulating the lncRNA SNHG3/miR-330-5p Axis.,METTL3,METTL3,promote,STIMULATES,growth,Growth,Melanoma Cells,SKCM(Skin Cutaneous Melanoma)
37606168.0,METTL3 Promotes the Growth and Invasion of Melanoma Cells by Regulating the lncRNA SNHG3/miR-330-5p Axis.,METTL3,METTL3,promote,STIMULATES,invasion,Neoplasm Invasiveness,Melanoma Cells,SKCM(Skin Cutaneous Melanoma)
37606168.0,METTL3 Promotes the Growth and Invasion of Melanoma Cells by Regulating the lncRNA SNHG3/miR-330-5p Axis.,METTL3,METTL3,regulate,AFFECTS,lncRNA SNHG3/miR-330-5p Axis,SNHG3/miR-330-5p Axis,Melanoma Cells,SKCM(Skin Cutaneous Melanoma)
37606168.0,METTL3 Promotes the Growth and Invasion of Melanoma Cells by Regulating the lncRNA SNHG3/miR-330-5p Axis.,lncRNA SNHG3/miR-330-5p Axis,SNHG3/miR-330-5p Axis,promote,STIMULATES,growth,Growth,Melanoma Cells,SKCM(Skin Cutaneous Melanoma)
37606168.0,METTL3 Promotes the Growth and Invasion of Melanoma Cells by Regulating the lncRNA SNHG3/miR-330-5p Axis.,lncRNA SNHG3/miR-330-5p Axis,SNHG3/miR-330-5p Axis,promote,STIMULATES,invasion,Neoplasm Invasiveness,Melanoma Cells,SKCM(Skin Cutaneous Melanoma)
,,,,,,,,,
37611825.0,eIF3i promotes colorectal cancer cell survival via augmenting PHGDH translation.,eIF3i,EIF3I,promote,STIMULATES,survival,Survival,colorectal cancer cell,COAD(Colon Adenocarcinoma)
37611825.0,eIF3i promotes colorectal cancer cell survival via augmenting PHGDH translation.,eIF3i,EIF3I,augment,AUGMENTS,PHGDH,PHGDH,colorectal cancer cell,COAD(Colon Adenocarcinoma)
37611825.0,eIF3i promotes colorectal cancer cell survival via augmenting PHGDH translation.,PHGDH,PHGDH,promote,STIMULATES,survival,Survival,colorectal cancer cell,COAD(Colon Adenocarcinoma)
,,,,,,,,,
37612282.0,ALKBH5 promotes hypopharyngeal squamous cell carcinoma apoptosis by targeting TLR2 in a YTHDF1/IGF2BP2-mediated manner.,ALKBH5,ALKBH5,promote,STIMULATES,apoptosis,apoptotic process,hypopharyngeal squamous cell carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
37612282.0,ALKBH5 promotes hypopharyngeal squamous cell carcinoma apoptosis by targeting TLR2 in a YTHDF1/IGF2BP2-mediated manner.,ALKBH5,ALKBH5,regulate,AFFECTS,YTHDF1,YTHDF1,hypopharyngeal squamous cell carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
37612282.0,ALKBH5 promotes hypopharyngeal squamous cell carcinoma apoptosis by targeting TLR2 in a YTHDF1/IGF2BP2-mediated manner.,ALKBH5,ALKBH5,regulate,AFFECTS,IGF2BP2,IGF2BP2,hypopharyngeal squamous cell carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
37612282.0,ALKBH5 promotes hypopharyngeal squamous cell carcinoma apoptosis by targeting TLR2 in a YTHDF1/IGF2BP2-mediated manner.,YTHDF1,YTHDF1,target,INTERACTS_WITH,TLR2,TLR2,hypopharyngeal squamous cell carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
37612282.0,ALKBH5 promotes hypopharyngeal squamous cell carcinoma apoptosis by targeting TLR2 in a YTHDF1/IGF2BP2-mediated manner.,IGF2BP2,IGF2BP2,target,INTERACTS_WITH,TLR2,TLR2,hypopharyngeal squamous cell carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
37612282.0,ALKBH5 promotes hypopharyngeal squamous cell carcinoma apoptosis by targeting TLR2 in a YTHDF1/IGF2BP2-mediated manner.,TLR2,TLR2,promote,STIMULATES,apoptosis,apoptotic process,hypopharyngeal squamous cell carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
,,,,,,,,,
37612524.0,M6A-mediated-upregulation of lncRNA BLACAT3 promotes bladder cancer angiogenesis and hematogenous metastasis through YBX3 nuclear shuttling and enhancing NCF2 transcription.,M6A,m6A,mediate the upregulation of,STIMULATES,lncRNA BLACAT3,BLACAT3,bladder cancer,BLCA(Bladder Urothelial Carcinoma)
37612524.0,M6A-mediated-upregulation of lncRNA BLACAT3 promotes bladder cancer angiogenesis and hematogenous metastasis through YBX3 nuclear shuttling and enhancing NCF2 transcription.,lncRNA BLACAT3,BLACAT3,promote,STIMULATES,angiogenesis,angiogenesis,bladder cancer,BLCA(Bladder Urothelial Carcinoma)
37612524.0,M6A-mediated-upregulation of lncRNA BLACAT3 promotes bladder cancer angiogenesis and hematogenous metastasis through YBX3 nuclear shuttling and enhancing NCF2 transcription.,lncRNA BLACAT3,BLACAT3,promote,STIMULATES,hematogenous metastasis,Hematogenous Metastasis,bladder cancer,BLCA(Bladder Urothelial Carcinoma)
