"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"404","34016959","Suppression of m6A mRNA modification by DNA hypermethylated ALKBH5 aggravates the oncological behavior of KRAS mutation/LKB1 loss lung cancer.","ALKBH5","suppress","m6A","KRAS mutation/LKB1 loss lung cancer","ALKBH5","INHIBITS","m6A","LUAD(Lung Adenocarcinoma)"
"405","34016959","Suppression of m6A mRNA modification by DNA hypermethylated ALKBH5 aggravates the oncological behavior of KRAS mutation/LKB1 loss lung cancer.","m6A","aggravate","oncological behavior","KRAS mutation/LKB1 loss lung cancer","m6A","COMPLICATES","oncological behavior","LUAD(Lung Adenocarcinoma)"
"451","33459381","m6A deposition is regulated by PRMT1-mediated arginine methylation of METTL14 in its disordered C-terminal region.","PRMT1","mediate","arginine methylation","Null","PRMT1","AFFECTS","arginine methylation","Null"
"452","33459381","m6A deposition is regulated by PRMT1-mediated arginine methylation of METTL14 in its disordered C-terminal region.","arginine methylation","is on","METTL14","Null","arginine methylation","LOCATES","METTL14","Null"
"453","33459381","m6A deposition is regulated by PRMT1-mediated arginine methylation of METTL14 in its disordered C-terminal region.","METTL14","regulate","m6A","Null","METTL14","AFFECTS","m6A","Null"
"455","34505967","METTL3-Mediated lncRNA m6A Modification in the Osteogenic Differentiation of Human Adipose-Derived Stem Cells Induced by NEL-Like 1 Protein.","METTL3","mediate","m6A","Human Adipose-Derived Stem Cells","METTL3","AFFECTS","m6A","Human Adipose-Derived Stem Cells"
"456","34505967","METTL3-Mediated lncRNA m6A Modification in the Osteogenic Differentiation of Human Adipose-Derived Stem Cells Induced by NEL-Like 1 Protein.","m6A","is on","lncRNA","Human Adipose-Derived Stem Cells","m6A","LOCATES","RNA, Long Noncoding","Human Adipose-Derived Stem Cells"
"457","34505967","METTL3-Mediated lncRNA m6A Modification in the Osteogenic Differentiation of Human Adipose-Derived Stem Cells Induced by NEL-Like 1 Protein.","lncRNA","regulate","osteogenic differentiation","Human Adipose-Derived Stem Cells","RNA, Long Noncoding","AFFECTS","Osteogenic Differentiation","Human Adipose-Derived Stem Cells"
"458","34505967","METTL3-Mediated lncRNA m6A Modification in the Osteogenic Differentiation of Human Adipose-Derived Stem Cells Induced by NEL-Like 1 Protein.","NEL-Like 1 Protein","induce","osteogenic differentiation","Human Adipose-Derived Stem Cells","NELL1","CAUSES","Osteogenic Differentiation","Human Adipose-Derived Stem Cells"
"466","33596916","Targeting SNHG3/miR-186-5p reverses the increased m6A level caused by platinum treatment through regulating METTL3 in esophageal cancer.","Dummy","target","SNHG3/miR-186-5p","Esophageal Cancer","platinium treatment","AFFECTS","m6A","ESCA(Esophageal Carcinoma)"
"467","33596916","Targeting SNHG3/miR-186-5p reverses the increased m6A level caused by platinum treatment through regulating METTL3 in esophageal cancer.","SNHG3/miR-186-5p","inhibit","METTL3","Esophageal Cancer","SNHG3/miR-186-5p","INHIBITS","METTL3","ESCA(Esophageal Carcinoma)"
"468","33596916","Targeting SNHG3/miR-186-5p reverses the increased m6A level caused by platinum treatment through regulating METTL3 in esophageal cancer.","METTL3","increase","m6A","Esophageal Cancer","METTL3","AUGMENTS","m6A","ESCA(Esophageal Carcinoma)"
"469","33596916","Targeting SNHG3/miR-186-5p reverses the increased m6A level caused by platinum treatment through regulating METTL3 in esophageal cancer.","platinium treatment","increase","m6A","Esophageal Cancer","SNHG3/miR-186-5p","AUGMENTS","m6A","ESCA(Esophageal Carcinoma)"
"528","33882457","Methylation of microRNA-338-5p by EED promotes METTL3-mediated translation of oncogene CDCP1 in gastric cancer.","EED","methylate","microRNA-338-5p","Gastric Cancer","EED","CONVERTS_TO","microRNA-338-5p","STAD(Stomach adenocarcinoma)"
"529","33882457","Methylation of microRNA-338-5p by EED promotes METTL3-mediated translation of oncogene CDCP1 in gastric cancer.","microRNA-338-5p","promote","METTL3","Gastric Cancer","microRNA-338-5p","STIMULATES","METTL3","STAD(Stomach adenocarcinoma)"
"530","33882457","Methylation of microRNA-338-5p by EED promotes METTL3-mediated translation of oncogene CDCP1 in gastric cancer.","METTL3","mediate","translation","Gastric Cancer","METTL3","AFFECTS","translation","STAD(Stomach adenocarcinoma)"
"531","33882457","Methylation of microRNA-338-5p by EED promotes METTL3-mediated translation of oncogene CDCP1 in gastric cancer.","translation","process of","CDCP1","Gastric Cancer","translation","PROCESS_OF","CDCP1","STAD(Stomach adenocarcinoma)"
"604","32552762","METTL14-mediated N6-methyladenosine modification of SOX4 mRNA inhibits tumor metastasis in colorectal cancer.","METTL14","mediate","N6-methyladenosine","Colorectal Cancer","METTL14","AFFECTS","m6A","COAD(Colon Adenocarcinoma)"
"605","32552762","METTL14-mediated N6-methyladenosine modification of SOX4 mRNA inhibits tumor metastasis in colorectal cancer.","N6-methyladenosine","is on","SOX4","Colorectal Cancer","m6A","LOCATES","SOX4","COAD(Colon Adenocarcinoma)"
"606","32552762","METTL14-mediated N6-methyladenosine modification of SOX4 mRNA inhibits tumor metastasis in colorectal cancer.","SOX4","inhibit","Tumor Metastasis","Colorectal Cancer","SOX4","INHIBITS","Neoplasm Metastasis","COAD(Colon Adenocarcinoma)"
"642","31767846","m6A in mRNA coding regions promotes translation via the RNA helicase-containing YTHDC2.","m6A","promote","Translation","Null","m6A","STIMULATES","translation","Null"
"643","31767846","m6A in mRNA coding regions promotes translation via the RNA helicase-containing YTHDC2.","YTHDC2","bind","m6A","Null","YTHDC2","INTERACTS_WITH","m6A","Null"
"645","34098071","KAT1 triggers YTHDF2-mediated ITGB1 mRNA instability to alleviate the progression of diabetic retinopathy.","KAT1","trigger","YTHDF2","Diabetic Retinopathy","HAT1","CAUSES","YTHDF2","Diabetic Retinopathy"
"646","34098071","KAT1 triggers YTHDF2-mediated ITGB1 mRNA instability to alleviate the progression of diabetic retinopathy.","YTHDF2","mediate the instability of","ITGB1","Diabetic Retinopathy","YTHDF2","AFFECTS","ITGB1","Diabetic Retinopathy"
"647","34098071","KAT1 triggers YTHDF2-mediated ITGB1 mRNA instability to alleviate the progression of diabetic retinopathy.","ITGB1","alleviate","Progression","Diabetic Retinopathy","ITGB1","INHIBITS","progression","Diabetic Retinopathy"
"681","33590832","METTL3-mediated m6A methylation negatively modulates autophagy to support porcine blastocyst development.","METTL3","mediate","m6A","Porcine Blastocyst","METTL3","AFFECTS","m6A","Porcine Blastocyst"
"682","33590832","METTL3-mediated m6A methylation negatively modulates autophagy to support porcine blastocyst development.","m6A","negatively modulate","Autophagy","Porcine Blastocyst","m6A","INHIBITS","autophagy","Porcine Blastocyst"
"683","33590832","METTL3-mediated m6A methylation negatively modulates autophagy to support porcine blastocyst development.","Autophagy","support","Development","Porcine Blastocyst","autophagy","STIMULATES","development","Porcine Blastocyst"
"710","33910046","Tumors exploit FTO-mediated regulation of glycolytic metabolism to evade immune surveillance.","Tumors","exploit","FTO","Null","Neoplasms","USES","FTO","Null"
"711","33910046","Tumors exploit FTO-mediated regulation of glycolytic metabolism to evade immune surveillance.","FTO","regulate","Glycolytic metabolism","Tumors","FTO","AFFECTS","Glycolytic metabolism","PANCAN(Pan-Cancer)"
"712","33910046","Tumors exploit FTO-mediated regulation of glycolytic metabolism to evade immune surveillance.","Glycolytic metabolism","evade","Immune surveillance","Tumors","Glycolytic metabolism","PREVENTS","Immune surveillance","PANCAN(Pan-Cancer)"
"718","33648590","METTL3-mediated m6A modification regulates cell cycle progression of dental pulp stem cells.","METTL3","mediate","m6A","Dental Pulp Stem Cells","METTL3","AFFECTS","m6A","Dental Pulp Stem Cells"
"719","33648590","METTL3-mediated m6A modification regulates cell cycle progression of dental pulp stem cells.","m6A","regulate","Cell cycle progression","Dental Pulp Stem Cells","m6A","AFFECTS","cell cycle progression","Dental Pulp Stem Cells"
"809","32064749","YTHDF1-mediated translation amplifies Wnt-driven intestinal stemness.","YTHDF1","mediate","Translation","Null","YTHDF1","AFFECTS","translation","Null"
"810","32064749","YTHDF1-mediated translation amplifies Wnt-driven intestinal stemness.","Translation","amplify","Wnt-driven intestinal stemness","Null","translation","AUGMENTS","Wnt-driven intestinal stemness","Null"
"812","30875984","m6A Reader YTHDF2 Regulates LPS-Induced Inflammatory Response.","YTHDF2","regulate","Inflammatory Response","Null","YTHDF2","AFFECTS","inflammatory response","Null"
"813","30875984","m6A Reader YTHDF2 Regulates LPS-Induced Inflammatory Response.","LPS","induce","Inflammatory Response","Null","lipopolysaccharide","CAUSES","inflammatory response","Null"
"815","32267835","YTHDF2 promotes mitotic entry and is regulated by cell cycle mediators.","YTHDF2","promote","Mitotic Entry","Null","YTHDF2","STIMULATES","Mitotic Entry","Null"
"816","32267835","YTHDF2 promotes mitotic entry and is regulated by cell cycle mediators.","Cell Cycle Mediators","regulate","YTHDF2","Null","Cell Cycle Mediators","AFFECTS","YTHDF2","Null"
"831","31564433","Bi-allelic Variants in METTL5 Cause Autosomal-Recessive Intellectual Disability and Microcephaly.","Bi-allelic Variants","is in","METTL5","Autosomal-Recessive Intellectual Disability and Microcephaly","Bi-allelic Variants","LOCATES","METTL5","Autosomal-Recessive Intellectual Disability and Microcephaly"
"832","31564433","Bi-allelic Variants in METTL5 Cause Autosomal-Recessive Intellectual Disability and Microcephaly.","METTL5","cause","Autosomal-Recessive Intellectual Disability","Autosomal-Recessive Intellectual Disability and Microcephaly","METTL5","CAUSES","Intellectual Disability","Autosomal-Recessive Intellectual Disability and Microcephaly"
"833","31564433","Bi-allelic Variants in METTL5 Cause Autosomal-Recessive Intellectual Disability and Microcephaly.","METTL5","cause","Microcephaly","Autosomal-Recessive Intellectual Disability and Microcephaly","METTL5","CAUSES","Microcephaly","Autosomal-Recessive Intellectual Disability and Microcephaly"
"835","34544449","RNA m6A demethylase FTO-mediated epigenetic up-regulation of LINC00022 promotes tumorigenesis in esophageal squamous cell carcinoma.","FTO","up-regulate","LINC00022","Esophageal Squamous Cell Carcinoma","FTO","STIMULATES","DLEU2","ESCA(Esophageal Carcinoma)"
"836","34544449","RNA m6A demethylase FTO-mediated epigenetic up-regulation of LINC00022 promotes tumorigenesis in esophageal squamous cell carcinoma.","LINC00022","promote","tumorigenesis","Esophageal Squamous Cell Carcinoma","DLEU2","STIMULATES","Carcinogenesis","ESCA(Esophageal Carcinoma)"
"845","28247949","NSUN2-Mediated m5C Methylation and METTL3/METTL14-Mediated m6A Methylation Cooperatively Enhance p21 Translation.","NSUN2","mediate","m5C Methylation","Null","NSUN2","AFFECTS","m5C","Null"
"846","28247949","NSUN2-Mediated m5C Methylation and METTL3/METTL14-Mediated m6A Methylation Cooperatively Enhance p21 Translation.","METTL3","mediate","m6A Methylation","Null","METTL3","AFFECTS","m6A","Null"
"847","28247949","NSUN2-Mediated m5C Methylation and METTL3/METTL14-Mediated m6A Methylation Cooperatively Enhance p21 Translation.","METTL14","mediate","m6A Methylation","Null","METTL14","AFFECTS","m6A","Null"
"848","28247949","NSUN2-Mediated m5C Methylation and METTL3/METTL14-Mediated m6A Methylation Cooperatively Enhance p21 Translation.","m5C Methylation","enhance","p21 Translation","Null","m5C","AUGMENTS","p21 Translation","Null"
"849","28247949","NSUN2-Mediated m5C Methylation and METTL3/METTL14-Mediated m6A Methylation Cooperatively Enhance p21 Translation.","m6A Methylation","enhance","p21 Translation","Null","m6A","AUGMENTS","p21 Translation","Null"
"856","29997116","FTO-Dependent N6-Methyladenosine Regulates Cardiac Function During Remodeling and Repair.","FTO","regulate","N6-Methyladenosine","Cardiac Remodeling and Repair","FTO","AFFECTS","m6A","Cardiac Remodeling and Repair"
"857","29997116","FTO-Dependent N6-Methyladenosine Regulates Cardiac Function During Remodeling and Repair.","N6-Methyladenosine","regulate","Cardiac Function","Cardiac Remodeling and Repair","m6A","AFFECTS","Cardiac Function","Cardiac Remodeling and Repair"
"859","31642031","Binding to m6A RNA promotes YTHDF2-mediated phase separation.","YTHDF2","bind","m6A","Null","YTHDF2","INTERACTS_WITH","m6A","Null"
"860","31642031","Binding to m6A RNA promotes YTHDF2-mediated phase separation.","m6A","promote","Phase Separation","Null","m6A","STIMULATES","Phase Separation","Null"
"869","29982692","m6A Demethylase FTO Regulates Dopaminergic Neurotransmission Deficits Caused by Arsenite.","FTO","regulate","Dopaminergic Neurotransmission Deficits","Dopaminergic Neurotransmission Deficits","FTO","AFFECTS","Dopaminergic Neurotransmission Deficits","Dopaminergic Neurotransmission Deficits"
"870","29982692","m6A Demethylase FTO Regulates Dopaminergic Neurotransmission Deficits Caused by Arsenite.","Arsenite","cause","Dopaminergic Neurotransmission Deficits","Dopaminergic Neurotransmission Deficits","arsenite(3-)","CAUSES","Dopaminergic Neurotransmission Deficits","Dopaminergic Neurotransmission Deficits"
"872","33761320","RNA demethylation by FTO stabilizes the FOXJ1 mRNA for proper motile ciliogenesis.","FTO","stabilize","FOXJ1","Null","FTO","MAINTAINS","FOXJ1","Null"
"873","33761320","RNA demethylation by FTO stabilizes the FOXJ1 mRNA for proper motile ciliogenesis.","FOXJ1","regulate","Motile Ciliogenesis","Null","FOXJ1","AFFECTS","Motile Ciliogenesis","Null"
"875","33932138","METTL3 mediates bone marrow mesenchymal stem cell adipogenesis to promote chemoresistance in acute myeloid leukemia.","METTL3","mediate","Bone Marrow Mesenchymal Stem Cell Adipogenesis","Acute Myeloid Leukemia","METTL3","AFFECTS","Bone Marrow Mesenchymal Stem Cell Adipogenesis","LAML(Acute Myeloid Leukemia)"
"876","33932138","METTL3 mediates bone marrow mesenchymal stem cell adipogenesis to promote chemoresistance in acute myeloid leukemia.","Bone Marrow Mesenchymal Stem Cell Adipogenesis","promote","Chemoresistance","Acute Myeloid Leukemia","Bone Marrow Mesenchymal Stem Cell Adipogenesis","STIMULATES","Chemoresistance","LAML(Acute Myeloid Leukemia)"
"970","33428593","ALKBH5-mediated m6A demethylation of FOXM1 mRNA promotes progression of uveal melanoma.","ALKBH5","demethylate","m6A","Uveal Melanoma","ALKBH5","CONVERTS_TO","m6A","UVM(Uveal Melanoma)"
"971","33428593","ALKBH5-mediated m6A demethylation of FOXM1 mRNA promotes progression of uveal melanoma.","m6A","is on","FOXM1","Uveal Melanoma","m6A","LOCATES","FOXM1","UVM(Uveal Melanoma)"
"972","33428593","ALKBH5-mediated m6A demethylation of FOXM1 mRNA promotes progression of uveal melanoma.","FOXM1","promote","Progression","Uveal Melanoma","FOXM1","STIMULATES","progression","UVM(Uveal Melanoma)"
"994","33125861","YTHDF3 Induces the Translation of m6A-Enriched Gene Transcripts to Promote Breast Cancer Brain Metastasis.","YTHDF3","induce","m6A-Enriched Gene Transcripts","Breast Cancer","YTHDF3","CAUSES","m6A-Enriched Gene Transcripts","BRCA(Breast Invasive Carcinoma)"
"995","33125861","YTHDF3 Induces the Translation of m6A-Enriched Gene Transcripts to Promote Breast Cancer Brain Metastasis.","m6A-Enriched Gene Transcripts","promote","Brain Metastasis","Breast Cancer","m6A-Enriched Gene Transcripts","STIMULATES","Brain Metastasis","BRCA(Breast Invasive Carcinoma)"
"1214","33548009","FTO overexpression inhibits apoptosis of hypoxia/reoxygenation-treated myocardial cells by regulating m6A modification of Mhrt.","FTO overexpression","inhibit","Apoptosis","Hypoxia/reoxygenation-treated myocardial cells","FTO overexpression","INHIBITS","apoptotic process","Hypoxia/reoxygenation-treated myocardial cells"
"1215","33548009","FTO overexpression inhibits apoptosis of hypoxia/reoxygenation-treated myocardial cells by regulating m6A modification of Mhrt.","FTO","regulate","m6A","Hypoxia/reoxygenation-treated myocardial cells","FTO","AFFECTS","m6A","Hypoxia/reoxygenation-treated myocardial cells"
"1216","33548009","FTO overexpression inhibits apoptosis of hypoxia/reoxygenation-treated myocardial cells by regulating m6A modification of Mhrt.","m6A","is on","Mhrt","Hypoxia/reoxygenation-treated myocardial cells","m6A","LOCATES","MHRT","Hypoxia/reoxygenation-treated myocardial cells"
"1217","33548009","FTO overexpression inhibits apoptosis of hypoxia/reoxygenation-treated myocardial cells by regulating m6A modification of Mhrt.","Mhrt","inhibit","Apoptosis","Hypoxia/reoxygenation-treated myocardial cells","MHRT","INHIBITS","apoptotic process","Hypoxia/reoxygenation-treated myocardial cells"
"1247","32169943","YTHDF2 destabilizes m6A-modified neural-specific RNAs to restrain differentiation in induced pluripotent stem cells.","YTHDF2","destabilize","neural-specific RNAs","Induced pluripotent stem cells","YTHDF2","DISRUPTS","neural-specific RNAs","Induced Pluripotent Stem Cells"
"1248","32169943","YTHDF2 destabilizes m6A-modified neural-specific RNAs to restrain differentiation in induced pluripotent stem cells.","m6A","modify","neural-specific RNAs","Induced pluripotent stem cells","m6A","AFFECTS","neural-specific RNAs","Induced Pluripotent Stem Cells"
"1249","32169943","YTHDF2 destabilizes m6A-modified neural-specific RNAs to restrain differentiation in induced pluripotent stem cells.","neural-specific RNAs","restrain","Differentiation","Induced pluripotent stem cells","neural-specific RNAs","INHIBITS","cell differentiation","Induced Pluripotent Stem Cells"
"1330","37619934","Intracellular Fusobacterium nucleatum infection increases METTL3-mediated m6A methylation to promote the metastasis of esophageal squamous cell carcinoma","Intracellular Fusobacterium nucleatum infection","increase","METTL3","esophageal squamous cell carcinoma","Intracellular Fusobacterium nucleatum infection","AUGMENTS","METTL3","ESCA(Esophageal Carcinoma)"
"1331","37619934","Intracellular Fusobacterium nucleatum infection increases METTL3-mediated m6A methylation to promote the metastasis of esophageal squamous cell carcinoma","METTL3","mediate","m6A methylation","esophageal squamous cell carcinoma","METTL3","AFFECTS","m6A","ESCA(Esophageal Carcinoma)"
"1332","37619934","Intracellular Fusobacterium nucleatum infection increases METTL3-mediated m6A methylation to promote the metastasis of esophageal squamous cell carcinoma","m6A methylation","promote","metastasis","esophageal squamous cell carcinoma","m6A","STIMULATES","Neoplasm Metastasis","ESCA(Esophageal Carcinoma)"
"1363","32426101","N6-methyladenosine demethylases Alkbh5/Fto regulate cerebral ischemia-reperfusion injury.","Alkbh5","regulate","Cerebral Ischemia-Reperfusion Injury","cerebral ischemia-reperfusion injury","ALKBH5","AFFECTS","Cerebral Ischemia-Reperfusion Injury","cerebral ischemia-reperfusion injury"
"1364","32426101","N6-methyladenosine demethylases Alkbh5/Fto regulate cerebral ischemia-reperfusion injury.","Fto","regulate","Cerebral Ischemia-Reperfusion Injury","cerebral ischemia-reperfusion injury","FTO","AFFECTS","Cerebral Ischemia-Reperfusion Injury","cerebral ischemia-reperfusion injury"
"1369","33412003","m6A-RNA Demethylase FTO Inhibitors Impair Self-Renewal in Glioblastoma Stem Cells.","FTO Inhibitors","impair","Self-Renewal","Glioblastoma Stem Cells","FTO Inhibitors","INHIBITS","Self-Renewal","Glioblastoma Stem Cells"
"1371","34350169","RNA Demethylase FTO Mediated RNA m6A Modification Is Involved in Maintaining Maternal-Fetal Interface in Spontaneous Abortion.","FTO","mediate","RNA m6A Modification","Spontaneous Abortion","FTO","AFFECTS","m6A","Abortion, Spontaneous"
"1372","34350169","RNA Demethylase FTO Mediated RNA m6A Modification Is Involved in Maintaining Maternal-Fetal Interface in Spontaneous Abortion.","RNA m6A Modification","maintain","Maternal-Fetal Interface","Spontaneous Abortion","m6A","MAINTAINS","Maternal-Fetal Interface","Abortion, Spontaneous"
"1391","34491904","m6A demethylase ALKBH5 suppression contributes to esophageal squamous cell carcinoma progression.","ALKBH5 suppression","contribute","Progression","Esophageal Squamous Cell Carcinoma","ALKBH5 suppression","AFFECTS","progression","ESCA(Esophageal Carcinoma)"
