"","pmid","title"
"1371","34350169","RNA Demethylase FTO Mediated RNA m6A Modification Is Involved in Maintaining Maternal-Fetal Interface in Spontaneous Abortion."
"1391","34491904","m6A demethylase ALKBH5 suppression contributes to esophageal squamous cell carcinoma progression."
"1396","29484125","Oncogene c-Myc promotes epitranscriptome m6A reader YTHDF1 expression in colorectal cancer."
"1414","29855337","Ythdf2-mediated m6A mRNA clearance modulates neural development in mice."
"1417","30065315","Suppression of m6A reader Ythdf2 promotes hematopoietic stem cell expansion."
"1427","33692441","N-methyladenosine reader YTHDF2-mediated long noncoding RNA FENDRR degradation promotes cell proliferation in endometrioid endometrial carcinoma."
"1437","28106076","Cytoplasmic m6A reader YTHDF3 promotes mRNA translation."
"1442","33886094","Nuclear m6A reader YTHDC1 regulates the scaffold function of LINE1 RNA in mouse ESCs and early embryos."
"1454","31031138","Targeting the RNA m6A Reader YTHDF2 Selectively Compromises Cancer Stem Cells in Acute Myeloid Leukemia."
"1472","32782536","Knockdown of m6A methyltransferase METTL3 in gastric cancer cells results in suppression of cell proliferation."
"1475","33083017","A defined N6-methyladenosine (m6A) profile conferred by METTL3 regulates muscle stem cell/myoblast state transitions."
"1486","32783360","The 18S rRNA m6A methyltransferase METTL5 promotes mouse embryonic stem cell differentiation."
"1488","26218273","The Demethylase Activity of FTO (Fat Mass and Obesity Associated Protein) Is Required for Preadipocyte Differentiation."
"1493","34315853","The m6A mRNA demethylase FTO in granulosa cells retards FOS-dependent ovarian aging."
"1496","34288397","Conditional deficiency of m6A methyltransferase Mettl14 in substantia nigra alters dopaminergic neuron function."
"1499","34329695","EBV downregulates the m6A writer WTAP in EBV-associated gastric carcinoma."
"1501","31799605","The human methyltransferase ZCCHC4 catalyses N6-methyladenosine modification of 28S ribosomal RNA."
"1507","32449584","m6A demethylase ALKBH5 promotes proliferation of esophageal squamous cell carcinoma associated with poor prognosis."
"1510","33023892","The RNA m6A reader YTHDF2 maintains oncogene expression and is a targetable dependency in glioblastoma stem cells."
"1512","33740664","METTL3 regulates skeletal muscle specific miRNAs at both transcriptional and post-transcriptional levels."
"1514","31328227","The human 18S rRNA m6A methyltransferase METTL5 is stabilized by TRMT112."
"1516","33204330","YTHDF1-enhanced iron metabolism depends on TFRC m6A methylation."
"1540","32964498","m6A RNA methyltransferases METTL3/14 regulate immune responses to anti-PD-1 therapy."
"1553","32843065","Upregulation of METTL14 mediates the elevation of PERP mRNA N6 adenosine methylation promoting the growth and metastasis of pancreatic cancer."
"1567","32869897","METTL3 regulates m6A in endometrioid epithelial ovarian cancer independently of METTl14 and WTAP."
"1574","33217317","Stabilization of ERK-Phosphorylated METTL3 by USP5 Increases m6A Methylation."
"1577","31697949","METTL14-Dependent m6A Regulates Vascular Calcification Induced by Indoxyl Sulfate."
"1581","32053707","HIV protease cleaves the antiviral m6A reader protein YTHDF3 in the viral particle."
"1583","32344536","Modification of Adenosine by Mettl3 Methyltransferase in the 5'-External Transcribed Spacer of 47S Pre-rRNA Affects rRNA Maturation."
"1598","33867838","CircMETTL3, upregulated in a m6A-dependent manner, promotes breast cancer progression."
"1670","33999206","The N6-methyladenosine RNA-binding protein YTHDF1 modulates the translation of TRAF6 to mediate the intestinal immune response."
"1799","34430596","METTL3-induced UCK2 m6A hypermethylation promotes melanoma cancer cell metastasis via the WNT/beta-catenin pathway."
"1812","29879109","METTL3-mediated m6A modification is required for cerebellar development."
"1815","30364964","N6-methyladenosine modification and METTL3 modulate enterovirus 71 replication."
"1822","31015515","Mettl3-mediated mRNA m6A methylation promotes dendritic cell activation."
"1829","33795874","m6A-independent genome-wide METTL3 and METTL14 redistribution drives the senescence-associated secretory phenotype."
"1832","33852874","A methionine-Mettl3-N6-methyladenosine axis promotes polycystic kidney disease."
"1849","34530916","METTL3-dependent MALAT1 delocalization drives c-Myc induction in thymic epithelial tumors."
"1852","34535671","METTL3-mediated m6A RNA methylation promotes the anti-tumour immunity of natural killer cells."
"1855","34547464","METTL3-m6A-Rubicon axis inhibits autophagy in nonalcoholic fatty liver disease."
"1857","33658391","SEDT2/METTL14-mediated m6A methylation awakening contributes to hypoxia-induced pulmonary arterial hypertension in mice."
"1865","28525753","The U6 snRNA m6A Methyltransferase METTL16 Regulates SAM Synthetase Intron Retention."
"1870","32350990","The 18S ribosomal RNA m6A methyltransferase Mettl5 is required for normal walking behavior in Drosophila."
"1875","32518161","Loss of the RNA-binding protein Rbm15 disrupts liver maturation in zebrafish."
"1878","28398475","Fat mass and obesity-associated (FTO) protein regulates adult neurogenesis."
"1880","37734910","Disruption of CerS6-mediated sphingolipid metabolism by FTO deficiency aggravates ulcerative colitis."
"1885","37735401","Curdione induces ferroptosis mediated by m6A methylation via METTL14 and YTHDF2 in colorectal cancer."
"1892","37735874","METTL5-mediated 18S rRNA m6A modification promotes oncogenic mRNA translation and intrahepatic cholangiocarcinoma progression."
"1896","37737187","FTO-targeted siRNA delivery by MSC-derived exosomes synergistically alleviates dopaminergic neuronal death in Parkinson's disease via m6A-dependent regulation of ATM mRNA."
"1902","37741489","YTHDF1 shapes ""cold"" tumor and inhibits CD8+ T cells infiltration and function in breast cancer."
"1905","37741915","METTL14-upregulated miR-6858 triggers cell apoptosis in keratinocytes of oral lichen planus through decreasing GSDMC."
"1910","37742030","METTL3 exerts synergistic effects on m6A methylation and histone modification to regulate the function of VGF in lung adenocarcinoma."
"1916","37742376","H3K18 lactylation promotes the progression of arsenite-related idiopathic pulmonary fibrosis via YTHDF1/m6A/NREP."
"1922","37743642","IGF2BP3 mediates the mRNA degradation of NF1 to promote triple-negative breast cancer progression via an m6A-dependent manner."
"1926","37744330","CircUBXN7 promotes macrophage infiltration and renal fibrosis associated with the IGF2BP2-dependent SP1 mRNA stability in diabetic kidney disease."
"1933","37751743","Targeting METTL3 reprograms the tumor microenvironment to improve cancer immunotherapy."
"1936","37755125","METTL3-induced FGD5-AS1 contributes to the tumorigenesis and PD-1/PD-L1 checkpoint to enhance the resistance to paclitaxel of endometrial carcinoma."
"1942","37756562","Super enhancer-regulated lncRNA LINC01089 induces alternative splicing of DIAPH3 to drive hepatocellular carcinoma metastasis."
"1947","37762418","METTL3 Promotes the Differentiation of Goat Skeletal Muscle Satellite Cells by Regulating MEF2C mRNA Stability in a m6A-Dependent Manner."
"1952","37772373","METTL3 promotes proliferation and migration of colorectal cancer cells by increasing SNHG1 stability."
"1958","37773181","LncRNA TIALD contributes to hepatocellular carcinoma metastasis via inducing AURKA lysosomal degradation."
"1963","37774794","c-MYC/METTL3/LINC01006 positive feedback loop promotes migration, invasion and proliferation of non-small cell lung cancer."
"1967","37777158","Hepatocyte-specific Wtap deficiency promotes hepatocellular carcinoma by activating GRB2/ERK depending on downregulation of proteasome-related genes."
"1974","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation."
"1982","37781028","Low expression of m6A reader YTHDC1 promotes progression of ovarian cancer via PIK3R1/STAT3/GANAB axis."
"1986","37781923","FTO fuels diabetes-induced vascular endothelial dysfunction associated with inflammation by erasing m6A methylation of TNIP1."
"1992","37782793","A deregulated m6A writer complex axis driven by BRD4 confers an epitranscriptomic vulnerability in combined DNA repair-targeted therapy."
"1995","37783390","Gastric cancer derived exosomal THBS1 enhanced Vgamma9Vdelta2 T-cell function through activating RIG-I-like receptor signaling pathway in a N6-methyladenosine methylation dependent manner."
"2000","37783915","HIF-1alpha-induced upregulation of m6A reader IGF2BP1 facilitates peripheral nerve injury recovery by enhancing SLC7A11 mRNA stabilization."
"2006","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis."
"2013","37789010","WTAP-VIRMA counteracts dsDNA binding of the m6A writer METTL3-METTL14 complex and maintains N6-adenosine methylation activity."
"2019","37792239","N6-methyladenosine (m6A) reader YTHDF2 accelerates endothelial cells ferroptosis in cerebrovascular atherosclerosis."
"2023","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5."
"2030","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression."
"2037","37807062","N6-methyladenosine methyltransferase KIAA1429 promoted ovarian cancer aerobic glycolysis and progression through enhancing ENO1 expression."
"2043","37809663","Remimazolam relieved the injury of hypoxia/reperfusion treated human embryo liver cell line through the targeting METTL3 mediated m6A modification of P53."
"2049","37810561","Retracted: PCBP2 Reduced Oxidative Stress-Induced Apoptosis in Glioma through cGAS/STING Pathway by METTL3-Mediated m6A Modification."
"2054","37811274","Retracted: Inhibition of TLR4 Suppresses the Inflammatory Response in Inflammatory Bowel Disease (IBD) by Modulating the PDK1-Induced Metabolism Reprogramming via a m6A-Denpendent Manner."
"2059","37812019","Neural stem cell-derived exosomal FTO protects neuron from microglial inflammatory injury by inhibiting microglia NRF2 mRNA m6A modification."
"2064","37655555","Homeobox-D 1 and FTO form a transcriptional-epigenetic feedback loop to promote head and neck cancer proliferation."
"2069","37656787","Mettl3-catalyzed m6A regulates histone modifier and modification expression in self-renewing somatic tissue."
"2073","37658413","METTL3-induced lncRNA GBAP1 promotes hepatocellular carcinoma progression by activating BMP/SMAD pathway."
"2078","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma."
"2085","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification."
"2092","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner."
"2099","37666478","Branched-chain amino acids prevent obesity by inhibiting the cell cycle in an NADPH-FTO-m6A coordinated manner."
"2105","37669863","Synapse-enriched m6A-modified Malat1 interacts with the novel m6A reader, DPYSL2, and is required for fear-extinction memory."
"2109","37669906","N6 -methyladenosine-modified circFUT8 competitively interacts with YTHDF2 and miR-186-5p to stabilize FUT8 mRNA to promote malignant progression in lung adenocarcinoma."
"2114","37670228","N6-methyladenosine modification of PLOD2 causes spermatocyte damage in rats with varicocele."
"2116","37673880","METTL16 controls Kaposi's sarcoma-associated herpesvirus replication by regulating S-adenosylmethionine cycle."
"2119","37683648","eIF3d controls the persistent integrated stress response."
"2121","37688756","m6A-mediated lncRNA NEAT1 plays an oncogenic role in non-small cell lung cancer by upregulating the HMGA1 expression through binding miR-361-3p."
"2127","37689242","ALKBH5 Induces Fibroblast-to-Myofibroblast Transformation During Hypoxia to Protect Against Cardiac Rupture After Myocardial Infarction."
"2131","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner."
"2138","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4."
"2145","37715457","METTL3-mediated N6-methyladenosine exacerbates ferroptosis via m6A-IGF2BP2-dependent mitochondrial metabolic reprogramming in sepsis-induced acute lung injury."
"2150","37716414","NAT10 regulates the repair of UVB-induced DNA damage and tumorigenicity."
"2153","37724907","YY1 is regulated by ALKBH5-mediated m6A modification and promotes autophagy and cancer progression through targeting ATG4B."
"2159","37726400","LncRNA BCAN-AS1 stabilizes c-Myc via N6-methyladenosine-mediated binding with SNIP1 to promote pancreatic cancer."
"2164","37729957","Targeting hnRNPC suppresses thyroid follicular epithelial cell apoptosis and necroptosis through m6A-modified ATF4 in autoimmune thyroid disease."
"2172","37730054","m6A methylation-mediated PGC-1alpha contributes to ferroptosis via regulating GSTK1 in arsenic-induced hepatic insulin resistance."
"2178","37580808","Down-regulated FTO and ALKBH5 co-operatively activates FOXO signaling through m6A methylation modification in HK2 mRNA mediated by IGF2BP2 to enhance glycolysis in colorectal cancer."
"2188","37584416","FTO-mediated epigenetic upregulation of LINC01559 confers cell resistance to docetaxel in breast carcinoma by suppressing miR-1343-3p."
"2198","37586322","METTL3 drives NAFLD-related hepatocellular carcinoma and is a therapeutic target for boosting immunotherapy."
"2201","37594126","RBM15-mediating MDR1 mRNA m6A methylation regulated by the TGF-beta signaling pathway in paclitaxel-resistant ovarian cancer."
"2206","37599359","P300/SP1 complex mediating elevated METTL1 regulates CDK14 mRNA stability via internal m7G modification in CRPC."
"2217","37605595","Role of METTL3-mediated m6A modification in osteogenic differentiation of periodontal ligament stem cells extracted from adult periodontal ligaments ex-vivo."
"2226","37609256","SUMOylation of the m6A reader YTHDF2 by PIAS1 promotes viral RNA decay to restrict EBV replication."
"2231","37610605","METTL3-deficiency Suppresses Neural Apoptosis to Induce Protective Effects in Cerebral I/R Injury via Inhibiting RNA m6A Modifications: A Pre-clinical and Pilot Study."
"2247","37614036","Propofol suppresses OGD/R-induced ferroptosis in neurons by inhibiting the HIF-1alpha/YTHDF1/BECN1 axis."
"2262","37624905","DNA N6-methyladenine methylase N6AMT1 controls neuropathic pain through epigenetically modifying Kcnj16 in dorsal horn neurons."
"2266","37626036","N6-methyladenosine modification of REG1alpha facilitates colorectal cancer progression via beta-catenin/MYC/LDHA axis mediated glycolytic reprogramming."
"2272","37626050","The m6A modification-mediated OGDHL exerts a tumor suppressor role in ccRCC by downregulating FASN to inhibit lipid synthesis and ERK signaling."
"2280","37628671","The 3' Non-Coding Sequence Negatively Regulates PD-L1 Expression, and Its Regulators Are Systematically Identified in Pan-Cancer."
"2283","37636387","YTHDC2 inhibits rat bone mesenchymal stem cells osteogenic differentiation by accelerating RUNX2 mRNA degradation via m6A methylation."
"2288","37639444","Kar4 is required for the normal pattern of meiotic gene expression."
"2290","37640841","RBFOX2 recognizes N6-methyladenosine to suppress transcription and block myeloid leukaemia differentiation."
"2294","37643553","IGF2BP3 drives gallbladder cancer progression by m6A-modified CLDN4 and inducing macrophage immunosuppressive polarization."
"2300","37644505","Elevated expression of the RNA-binding protein IGF2BP1 enhances the mRNA stability of INHBA to promote the invasion and migration of esophageal squamous cancer cells."
"2305","37647025","m6A methyltransferase METTL16 mediates immune evasion of colorectal cancer cells via epigenetically regulating PD-L1 expression."
"2310","37647111","m6A-mediated biogenesis of circDDIT4 inhibits prostate cancer progression by sequestrating ELAVL1/HuR."
"2315","37648786","METTL3 inhibition induced by M2 macrophage-derived extracellular vesicles drives anti-PD-1 therapy resistance via M6A-CD70-mediated immune suppression in thyroid cancer."
"2321","37652905","CircMIB2 therapy can effectively treat pathogenic infection by encoding a novel protein."
"2325","37504262","RNA Methyltransferase METTL16's Protein Domains Have Differential Functional Effects on Cell Processes."
"2327","37506852","Downregulation of FTO in the hippocampus is associated with mental disorders induced by fear stress during pregnancy."
"2330","37516644","WTAP-mediated m6A modification of IFNE is required for antiviral defense in condyloma acuminata."
"2335","37517144","m6A methyltransferase KIAA1429 accelerates oral squamous cell carcinoma via regulating glycolysis and ferroptosis."
"2341","37524872","ALKBH5 facilitates CYP1B1 mRNA degradation via m6A demethylation to alleviate MSC senescence and osteoarthritis progression."
"2349","37528369","HNRNPC promotes collagen fiber alignment and immune evasion in breast cancer via activation of the VIRMA-mediated TFAP2A/DDR1 axis."
"2356","37529797","Demethylase FTO inhibits the development of prostate cancer by upregulating EGR2 expression in an m6A manner."
"2361","37530646","Klf6 aggravates myocardial ischemia/reperfusion injury by activating Acsl4-mediated ferroptosis."
"2366","37533592","The m6A Reader YTHDF1 Accelerates the Osteogenesis of Bone Marrow Mesenchymal Stem Cells Partly via Activation of the Autophagy Signaling Pathway."
"2370","37534933","METTL14 reverses liver fibrosis by inhibiting NOVA2 through an m6A-YTHDF2-dependent mechanism."
"2376","37536262","ZC3H13 reduced DUOX1-mediated ferroptosis in laryngeal squamous cell carcinoma cells through m6A-dependent modification."
"2380","37537731","Genetic and pharmacological inhibition of METTL3 alleviates renal fibrosis by reducing EVL m6A modification through an IGF2BP2-dependent mechanism."
"2386","37538000","FTO promotes proliferation and migration of bladder cancer via enhancing stability of STAT3 mRNA in an m6A-dependent manner."
"2393","37541353","METTL14 regulates microglia/macrophage polarization and NLRP3 inflammasome activation after ischemic stroke by the KAT3B-STING axis."
"2399","37542992","METTL3-mediated N6-methyladenosine modification stimulates mitochondrial damage and ferroptosis of kidney tubular epithelial cells following acute kidney injury by modulating the stabilization of MDM2-p53-LMNB1 axis."
"2407","37543013","LncRNA THRIL, transcriptionally activated by AP-1 and stabilized by METTL14-mediated m6A modification, accelerates LPS-evoked acute injury in alveolar epithelial cells."
"2414","37543219","CircCDK1 blocking IGF2BP2-mediated m6A modification of CPPED1 promotes laryngeal squamous cell carcinoma metastasis via the PI3K/AKT signal pathway."
"2420","37548590","Inhibition of METTL3 results in a cell-intrinsic interferon response that enhances anti-tumour immunity."
"2423","37551785","N6-methyladenosine methylation regulator RBM15 promotes the progression of diabetic nephropathy by regulating cell proliferation, inflammation, oxidative stress, and pyroptosis through activating the AGE-RAGE pathway."
"2434","37555240","RNA N6-methyladenosine of DHAPAT and PAP involves in regulation of diapause of Bombyx mori via the lipid metabolism pathway."
"2444","37558013","EGR1 mediates METTL3/m6A/CHI3L1 to promote osteoclastogenesis in osteoporosis."
"2449","37558663","PRMT1 methylation of WTAP promotes multiple myeloma tumorigenesis by activating oxidative phosphorylation via m6A modification of NDUFS6."
"2456","37559689","Decreased expression of the m6A RNA methyltransferase METTL3 is associated with residual ridge resorption."
"2459","37560007","IGF2BP2-modified UBE2D1 interacts with Smad2/3 to promote the progression of breast cancer."
"2463","37560008","Mettl3 synergistically regulates TGF-beta/SMAD2/3 to promote proliferation and metastasis of gastric cancer."
"2467","37563361","m6A-modified circABCC4 promotes stemness and metastasis of prostate cancer by recruiting IGF2BP2 to increase stability of CCAR1."
"2475","37563688","N6-methyladenosine (m6A) methyltransferase WTAP-mediated miR-92b-5p accelerates osteoarthritis progression."
"2478","37564203","The m6A reader YTHDF1 attenuates fulminant hepatitis via MFG-E8 translation in an m6A dependent manner."
"2483","37565545","Mettl14-mediated m6 A modification regulates the abnormal differentiation of small intestinal epithelial stem cells in diabetic state."
"2486","37572160","The m6A Reader YTHDF1 Improves Sevoflurane-Induced Neuronal Pyroptosis and Cognitive Dysfunction Through Augmenting CREB-BDNF Signaling."
"2492","37573296","Retraction Note: N6-methyladenosine induced mir-143-3p promotes the brain metastasis of lung cancer via regulation of VASH1."
"2497","37573961","Benzo[a]pyrene-induced up-regulation of circ_0003552 via ALKBH5-mediated m6A modification promotes DNA damage in human bronchial epithelial cells."
"2503","37575058","Methyltransferase-like 3 facilitates the stem cell properties of esophageal cancer by upregulating Patched homolog 1 via N6-methyladenosine methylation."
"2508","37580442","Focused ultrasound combined with miR-1208-equipped exosomes inhibits malignant progression of glioma."
"2511","37436654","The m6A methylation enzyme METTL14 regulates myocardial ischemia/reperfusion injury through the Akt/mTOR signaling pathway."
"2515","37436898","ALKBH5 causes retinal pigment epithelium anomalies and choroidal neovascularization in age-related macular degeneration via the AKT/mTOR pathway."
"2521","37437797","Downregulated FTO promotes microRNA-155-mediated inflammatory response in cerebral ischemia/reperfusion injury."
"2525","37438359","METTL3-mediated m6A modification of LINC00839 maintains glioma stem cells and radiation resistance by activating Wnt/beta-catenin signaling."
"2531","37449516","METTL14 mediates m6a modification on osteogenic proliferation and differentiation of bone marrow mesenchymal stem cells by regulating the processing of pri-miR-873."
"2538","37449789","m6 A reader YTHDF3 triggers the progression of hepatocellular carcinoma through the YTHDF3/m6 A-EGFR/STAT3 axis and EMT."
"2544","37453198","Cinnamic acid mitigates left ventricular hypertrophy and heart failure in part through modulating FTO-dependent N6-methyladenosine RNA modification in cardiomyocytes."
"2551","37454738","Deubiquitinase USP9X stabilizes RNA m6A demethylase ALKBH5 and promotes acute myeloid leukemia cell survival."
"2554","37456679","Downregulation of hepatic METTL3 contributes to APAP-induced liver injury in mice."
"2558","37458420","The Drosophila Nab2 RNA binding protein inhibits m6A methylation and male-specific splicing of Sex lethal transcript in female neuronal tissue."
"2563","37462772","A feed-forward loop based on aerobic glycolysis and TGF-beta between tumor-associated macrophages and bladder cancer cells promoted malignant progression and immune escape."
"2567","37466203","Targeting histone deacetylase suppresses tumor growth through eliciting METTL14-modified m6 A RNA methylation in ocular melanoma."
"2573","37467831","N6-methyladenosine-modified circIRF2, identified by YTHDF2, suppresses liver fibrosis via facilitating FOXO3 nuclear translocation."
"2579","37468464","circRNF13, a novel N6-methyladenosine-modified circular RNA, enhances radioresistance in cervical cancer by increasing CXCL1 mRNA stability."
"2583","37469973","N6-methyladenosine with immune infiltration and PD-L1 in hepatocellular carcinoma: novel perspective to personalized diagnosis and treatment."
"2587","37474102","The disordered C terminus of ALKBH5 promotes phase separation and paraspeckles assembly."
"2590","37478627","METTL3 promotes hyperoxia-induced pyroptosis in neonatal bronchopulmonary dysplasia by inhibiting ATG8-mediated autophagy."
"2595","37478845","A lncRNA from the FTO locus acts as a suppressor of the m6A writer complex and p53 tumor suppression signaling."
"2599","37480971","HPV E7-drived ALKBH5 promotes cervical cancer progression by modulating m6A modification of PAK5."
"2605","37482304","N6-Methyladenosine methylase METTL3 contributes to neuropathic pain by epigenetic silencing of mu opioid receptor."
"2609","37482682","Targeting PARP1 modulates METTL3 promoter chromatin accessibility and associated LPAR5 RNA m6A methylation to enhance cancer cell radiosensitivity."
"2614","37486003","Homogeneous Electrochemiluminescence for Highly Sensitive Determination of Demethylase FTO Based on Target-Regulated DNAzyme Cleavage and Host-Guest Interaction."
"2618","37488356","N6-adenosine methylation controls the translation of insulin mRNA."
"2621","37490181","SETD2 controls m6A modification of transcriptome and regulates the molecular oncogenesis of glioma."
"2626","37491377","Circular RNA encoded MET variant promotes glioblastoma tumorigenesis."
"2629","37492748","FTO-mediated m6A modification alleviates autoimmune uveitis by regulating microglia phenotypes via the GPC4/TLR4/NF-kappaB signaling axis."
"2635","37493109","USF1-mediated ALKBH5 stabilizes FLII mRNA in an m6A-YTHDF2-dependent manner to repress glycolytic activity in prostate adenocarcinoma."
"2642","37495067","Decreased expression of Chrna4 by METTL3-mediated m6A modification participates in BPA-induced spatial memory deficit."
"2647","37498069","LncRNA SLC7A11-AS1 promotes the progression of hepatocellular carcinoma by mediating KLF9 ubiquitination."
"2651","37498408","EZH2 Contributes to Anoikis Resistance and Promotes Epithelial Ovarian Cancer Peritoneal Metastasis by Regulating m6A."
"2657","37500815","RNA methylation reading protein YTHDF2 relieves myocardial ischemia-reperfusion injury by downregulating BNIP3 via m6A modification."
"2662","37365312","Globally reduced N6-methyladenosine (m6A) in C9ORF72-ALS/FTD dysregulates RNA metabolism and contributes to neurodegeneration."
"2666","37366109","Aberrant DNA N6 -methyladenine incorporation via adenylate kinase 1 is suppressed by ADAL deaminase-dependent 2'-deoxynucleotide pool sanitation."
"2672","37368192","Circular RNA circ_KIAA1429 accelerates hepatocellular carcinoma progression via the miR-133a-3p/high mobility group AT-hook 2 (HMGA2) axis in an m6A-dependent manner."
"2677","37369679","K235 acetylation couples with PSPC1 to regulate the m6A demethylation activity of ALKBH5 and tumorigenesis."
